max_depth,learning_rate,max_iter,mean_mae,std_mae,n_folds
2,0.03,200,3.2129101310928387,0.7493854302302303,3
2,0.03,100,3.213601455299463,0.7488144406258472,3
3,0.01,100,3.2153946762867505,0.7578478726717178,3
2,0.01,100,3.2182587861943706,0.7481349873212619,3
2,0.05,100,3.2199392660368975,0.7465529401518906,3
3,0.01,200,3.2250374000926136,0.7467155336894744,3
2,0.01,200,3.225038871527152,0.7490310604904047,3
2,0.05,200,3.22509998401526,0.753820543184959,3
3,0.03,100,3.234790234029891,0.7383014840570112,3
3,0.03,200,3.234790234029891,0.7383014840570112,3
3,0.05,100,3.2428320307439784,0.7366090497732649,3
3,0.05,200,3.2428320307439784,0.7366090497732649,3
